[0.0 - 4.0]  What's up everybody?
[4.0 - 10.5]  Okay, so the last part until I have to get to FTI, which has to be like, you know, something
[10.5 - 12.6]  unrelated, we'll have to explain a little bit more.
[12.6 - 15.4]  The FTI is from Timothy Masters, right?
[15.4 - 17.9]  It's the last overlay.
[17.9 - 19.7]  It's the trend quality gating.
[19.7 - 25.3]  If you want to read about that until I review it, it's Timothy Masters FTI.
[25.3 - 27.2]  A read of a noise line.
[27.2 - 30.6]  If it crosses, then quality goes down in short.
[30.6 - 33.8]  Basically, we're going to be covering the last two parts, right?
[33.8 - 37.2]  So layer six and seven.
[37.2 - 38.2]  Sumer meme.
[38.2 - 40.7]  I hate that one, honestly.
[40.7 - 42.8]  Okay, so last two layers.
[42.8 - 50.0]  It's the combination of weights and the FDM and the forecast into the final position.
[50.0 - 54.5]  These together create these numbers, right?
[54.5 - 55.7]  So combined, right?
[55.7 - 59.3]  So combined implying like all the layers, right?
[59.3 - 67.5]  In combination, you will see here that it is the first per asset, by the way.
[67.5 - 70.2]  Again here, we're looking at Bitcoin.
[70.2 - 75.3]  So like it's different, of course, on NASDAQ slightly different.
[75.3 - 79.8]  The sharps and everything they defiate slightly.
[79.8 - 80.9]  It depends on your tastes.
[80.9 - 87.1]  I added the FDI because the consistency over assets improves fixed static measures.
[87.1 - 90.3]  I've tested that both over a hundred years.
[90.3 - 96.0]  I added it as an extra component to just have another orthogonal layer.
[96.0 - 101.0]  Helps in some cases, improves Kaggle, slightly less drawdown, but still very acceptable to
[101.0 - 102.0]  my degree.
[102.0 - 105.0]  The drawdown mostly is controlled by your volatility target anyway.
[105.0 - 110.9]  So if you're going to be wanting to use this for props, obviously you want to encourage
[110.9 - 114.6]  that full target so that your risk is higher.
[114.6 - 122.4]  I've ran tests where I basically try to deduce like the, how do you put it?
[122.4 - 128.8]  Maximum speed with still the highest probability of passing where I got to off the top of my
[128.8 - 136.0]  head, 16 million days with 32, 33 probability of passing, right?
[136.0 - 140.8]  So that's a little over two weeks, three trading weeks on crypto.
[140.8 - 142.5]  Obviously that is a little bit different.
[142.5 - 147.0]  In this case, I tested it over indices, oil, gold and crypto.
[147.0 - 153.4]  So that's three trading weeks with a 33, one in the three chance of passing, making very
[153.4 - 154.7]  good odds, right?
[154.7 - 160.9]  So that does imply like very good general odds, very good general numbers.
[160.9 - 168.6]  See here looking at, you know, in comparison to Bitcoin, I'm not sure if I have the numbers
[168.6 - 169.6]  up here.
[169.6 - 176.0]  Yeah, you can see like when they combine Bitcoin in its base form is sharp one drawdowns are
[176.0 - 177.6]  like 80.
[177.6 - 180.1]  When you combine here, you can see that it becomes a lot better, right?
[180.1 - 182.8]  And that's what we get to in these last two layers, right?
